[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - HQ890526.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - KY417143.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - AY559093.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - KF514411.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - HQ890543.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - MK062184.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - AY345988.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - KF514398.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - DQ022305.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AY502927.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AY485278.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AY461660.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - KF294457.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - KF514388.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AP006559.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AY545917.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AY772062.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - KF514401.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AY559083.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - HQ890536.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - KY352407.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - JF292908.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - KF514421.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - FV537213.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - MK062180.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AY686863.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - KY417147.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - KC881005.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - GQ153541.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:49] [gen3_augur_pyutils.ParseGenBank] - AY559097.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - KF514415.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - DQ071615.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - AY502923.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - AY304488.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - KP886808.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - AY427439.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - AY394979.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - AY278488.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - EU371561.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - JX163924.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - AY559087.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - HQ890532.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - JF292918.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - DJ059765.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - MG772934.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - HQ890546.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - DQ497008.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - KF514420.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - JF292909.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - FV537212.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - MK062181.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:50] [gen3_augur_pyutils.ParseGenBank] - KY417146.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - GQ153540.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - AY282752.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - AY559096.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - KF514414.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - KP886809.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - AY278489.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - AY394978.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - EU371560.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - AY502932.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - JX163925.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - KF514404.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - AY559086.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - AY321118.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - HQ890533.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - CQ918598.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - CS460762.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - JF292919.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - GQ153544.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - HQ890527.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - KY417142.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - AY559092.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:51] [gen3_augur_pyutils.ParseGenBank] - KF514410.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - HQ890542.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - JN854286.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - KF514399.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - AY502926.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - KF514389.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - AP006558.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - AY545916.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - EU371564.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - KF514400.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - AY559082.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - KY417152.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - HQ890537.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - MK062182.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:52] [gen3_augur_pyutils.ParseGenBank] - AY283798.gb is not Covid19 sample, remove the file
